"","ID.medlyn","file.medlyn","variable.medlyn","model.medlyn","deviance_SS.medlyn","numIter.medlyn","BIC.medlyn","k25.medlyn","Ea.medlyn","delS.medlyn","Hd.medlyn","minT.medlyn","maxT.medlyn","ID.new","file.new","variable.new","model.new","deviance_SS.new","numIter.new","BIC.new","k25.new","Ea.new","delS.new","Hd.new","minT.new","maxT.new"
"79","euc_pauciflora","euc_pauciflora_mk.csv","Vcmax","Medlyn",21242.1148535813,44,106.425664646331,88.0899589244808,52.3383777087391,6.05087453580537,57.9534796471224,15,35,"euc_pauciflora","euc_pauciflora_mk.csv","Vcmax","New",15522.9833525122,16,103.602688302611,88.0876328493901,52.3028433422102,6.01531500859667,50.9890140362085,15,35
"80","Eucalyptus parramattensis_ambient_Spring","acitwtc4_cleaned.csv","Vcmax","Medlyn",49372.4700444412,15,352.383624092831,121.237723851476,79.2542316982387,0.46776006292051,143.902532970885,15.6427373027273,42.5843649638462,"Eucalyptus parramattensis_ambient_Spring","acitwtc4_cleaned.csv","Vcmax","New",49250.2072621469,95,352.301803684122,121.433488535779,79.2542316982387,0.467317246021202,143.529123231445,15.6427373027273,42.5843649638462
"81","Eucalyptus parramattensis_ambient_Winter","acitwtc4_cleaned.csv","Vcmax","Medlyn",35628.3801494706,40,314.533311284486,101.901361333626,47.528401581696,3.84093924030623,1201.96283492043,14.4147944890909,40.823145866875,"Eucalyptus parramattensis_ambient_Winter","acitwtc4_cleaned.csv","Vcmax","New",35623.6109845638,211,314.529295257842,101.883923242271,45.0355098041322,3.83467268856709,1199.99605237063,14.4147944890909,40.823145866875
"82","Eucalyptus parramattensis_elevated_Spring","acitwtc4_cleaned.csv","Vcmax","Medlyn",46143.3139214007,184,395.900264640968,88.3249310292061,54.1638993635614,0.865716061397263,271.565770685197,15.4263513736364,42.5784861241667,"Eucalyptus parramattensis_elevated_Spring","acitwtc4_cleaned.csv","Vcmax","New",46141.4380970117,221,395.898719828304,88.3151346610016,51.6895845647923,0.865409140341014,271.462618089563,15.4263513736364,42.5784861241667
"83","Eucalyptus tetradonta","SIOP Leaf gas exchange Cernusak et al.csv","Vcmax","Medlyn",2308.46272356671,39,166.708299111821,90.1057700595081,55.4861466394659,10.4738978426382,3284.18351262183,24.999,40.0118181818182,"Eucalyptus tetradonta","SIOP Leaf gas exchange Cernusak et al.csv","Vcmax","New",2308.55362806461,32,166.709086672366,90.1214474908487,52.953465501612,10.4576636746334,3279.09444772676,24.999,40.0118181818182
"84","Fagus sylvatica_Summer","Strassemeyer.csv","Vcmax","Medlyn",405.366100635936,151,166.24361623729,26.8516285129324,67.1474623513294,1.09459097254199,339.991552774766,18.4166666666667,35.8833333333333,"Fagus sylvatica_Summer","Strassemeyer.csv","Vcmax","New",405.343290015286,136,166.242096859904,26.8506543019132,64.6769983237185,1.09364626418725,339.693957475072,18.4166666666667,35.8833333333333
"85","Ficus insipida","SlotWinterPCE_RawData_DiffusionCorrected.csv","Vcmax","Medlyn",22493.9074601208,53,326.440723945619,73.0268633572927,69.3458290491869,3.67380714041626,1142.56764625359,26.7841666666667,38.4381818181818,"Ficus insipida","SlotWinterPCE_RawData_DiffusionCorrected.csv","Vcmax","New",22493.3153966595,258,326.439855339247,73.042464738282,66.8112792709785,3.67342022075497,1142.44633824426,26.7841666666667,38.4381818181818
"86","Fraxinus_excelsior_summer","DreyerSevenSpp_final.csv","Vcmax","Medlyn",14496.2049289082,78,279.35095779441,82.4457402043789,130.533514987639,0.328642986110368,94.6737098729371,10.0829761907143,40.1719444441667,"Fraxinus_excelsior_summer","DreyerSevenSpp_final.csv","Vcmax","New",14495.4561412853,32,279.349459788413,82.4529549625089,128.043472264219,0.328969548958134,94.7866071338347,10.0829761907143,40.1719444441667
"87","Glycine max_r1_25","nick_smith.csv","Vcmax","Medlyn",6498.34124572285,1,67.9113163113325,58.9424986666723,8.05877783548433,0.65,263,14,50,"Glycine max_r1_25","nick_smith.csv","Vcmax","New",6513.5497176843,17,67.9253420780068,58.8980604532174,24.176333506453,0.603210486118645,18.6610442318712,14,50
"88","Glycine max_r1_30","nick_smith.csv","Vcmax","Medlyn",25.5007507487624,29,30.3829247963414,23.4650888551806,78.2205446642946,0.356620436122938,110.858653531804,14,50,"Glycine max_r1_30","nick_smith.csv","Vcmax","New",25.5334431215804,31,30.3893307713967,23.46234006512,75.759108205636,0.357157983317725,111.021302985636,14,50
"89","Glycine max_r1_35","nick_smith.csv","Vcmax","Medlyn",22.2794870458105,80,29.7077172906244,52.0607781763724,99.8898459485975,0.295688514823897,88.0477291315462,14,50,"Glycine max_r1_35","nick_smith.csv","Vcmax","New",20.7811331477653,72,29.3596129064249,52.1912136552061,99.8898459485975,0.302599219477757,89.9544430768348,14,50
"90","Glycine max_r2_20","nick_smith.csv","Vcmax","Medlyn",3368.39243519911,2,63.9686482532621,48.6464828231385,1.79952448394892,0.728113773070392,236.087756213772,14,50,"Glycine max_r2_20","nick_smith.csv","Vcmax","New",4311.65532967442,13,65.4499659886642,48.6015901156603,5.39856469205338,0.13478462001732,6.13793085812459,14,50
"91","Glycine max_r2_35","nick_smith.csv","Vcmax","Medlyn",477.875811181183,201,52.2516082661728,59.7885169738838,80.1655103987092,0.457026554094335,143.776201766646,14,50,"Glycine max_r2_35","nick_smith.csv","Vcmax","New",476.401541895686,54,52.2330693734246,59.2828280878011,80.1223591672818,0.455299346287879,142.9683875835,14,50
"92","Glycine max_r3_35","nick_smith.csv","Vcmax","Medlyn",302.338128214687,103,49.5047790546687,47.5842356948512,93.0876305201097,0.391606245998777,122.820359362656,14,50,"Glycine max_r3_35","nick_smith.csv","Vcmax","New",302.183827058103,148,49.5017161155925,47.5787314039074,90.6205809247207,0.3920559729499,122.954218524076,14,50
