,Ea_o,Hd_o,dS_o,k25_o,residual_o,BIC_o,Parameter,MA,ID,Ea,Hd,dS,k25,residual,BIC,Parameter,MA,ID
2024,44.24682282,262.8628505,0.833205082,83.38081157,1.640580563,16.66463624,Jmax,Old,47,41.78188855,262.1865744,0.831083309,83.3775374,1.651945124,16.69915262,Jmax,New,47
1149,48.10877434,200,0.63452091,83.75746656,4.518104461,20.12041011,Jmax,Old,47,45.62663704,200,0.634545347,83.75272134,4.495159864,20.09495358,Jmax,New,47
2025,44.96983649,426.1533601,1.363957808,107.3716807,6.190428544,23.30440691,Jmax,Old,48,42.49396835,425.6006959,1.362209233,107.3636526,6.240793271,23.34492184,Jmax,New,48
1150,65.84519997,200,0.646737077,112.2249312,508.8413591,43.7406289,Jmax,Old,48,63.37421545,200,0.646752216,112.2240387,509.2244028,43.74439137,Jmax,New,48
21,40,21,0.65,162.9276532,687.4948501,20.82130435,Jmax,Old,49,40,24,0.65,162.9276532,687.0003211,20.81986519,Jmax,New,49
1151,40,200,0.65,162.9276532,871.2862941,20.60198973,Jmax,Old,49,40,200,0.65,162.9276532,811.890092,20.46077845,Jmax,New,49
1781,132.5999016,109.7330464,0.38332935,117.2308577,9.009424928,25.18074155,Jmax,Old,50,129.0837102,108.8913619,0.380300897,117.22393,9.024237013,25.18895513,Jmax,New,50
1153,36.68546844,200,0.621783293,114.6997285,23.10811465,28.28086662,Jmax,Old,50,34.19860504,200,0.621853339,114.689714,23.26081118,28.31379753,Jmax,New,50
2284,35.6168808,613.4229786,1.946603306,108.0758041,0.87068612,13.49701666,Jmax,Old,51,33.13813768,600.609921,1.905731937,108.0665837,0.892511991,13.62080868,Jmax,New,51
1155,40.6386941,200,0.630293646,108.8869859,18.89141678,27.27348582,Jmax,Old,51,38.15471765,200,0.630326283,108.8786584,18.76790225,27.24068784,Jmax,New,51
2441,38.95628251,247.382044,0.777675501,107.8597419,44.51843125,33.16890178,Jmax,Old,52,36.4831814,246.5129635,0.774957567,107.8531899,44.43379245,33.15938669,Jmax,New,52
1157,40.31085105,200,0.627664411,108.0780734,45.65772438,31.68581143,Jmax,Old,52,37.82541471,200,0.627704694,108.0695012,45.54527663,31.67348203,Jmax,New,52
1761,106.9094981,103.5347821,0.352438141,109.9977907,3.561622219,20.54046594,Jmax,Old,53,104.2658883,103.5359313,0.352381982,109.9960547,3.568870529,20.55063117,Jmax,New,53
