"","ID","file","variable","model","deviance_SS","numIter","BIC","k25","Ea","delS","Hd","minT","maxT","AIC"
"1420","Piper glabrescens_25","kelsey_cater_Aci_PuertoRico.csv","Jmax","New",2020.89305291004,59,60.9032717178068,45.4315450687617,122.001599242177,0.321904710353316,92.1082551771426,22.8833068216667,39.9294300091667,61.9444743716665
"1421","Piper glabrescens_5","kelsey_cater_Aci_PuertoRico.csv","Vcmax","New",67.349788980293,21,35.2388841804015,17.8865679397246,247.298564551944,0.596080285548843,173.260326502655,22.8547207508333,39.9091005333333,37.191694618231
"1422","Piper glabrescens_5","kelsey_cater_Aci_PuertoRico.csv","Jmax","New",95.9430786422235,26,37.0081607560701,42.1656156459988,111.9344384162,0.417307015779024,126.203455168455,22.8547207508333,39.9091005333333,38.9609711938996
"1423","Piper glabrescens_6","kelsey_cater_Aci_PuertoRico.csv","Vcmax","New",109.273909469363,10,37.6586736370941,16.9253053874794,243.633199265861,0.601769582991334,177.067144072734,23.1086695991667,39.9674170816667,39.6114840749236
"1424","Piper glabrescens_6","kelsey_cater_Aci_PuertoRico.csv","Jmax","New",183.399960928706,27,40.247732065965,40.3385154547653,85.426501841435,0.476942111632451,146.845598791841,23.1086695991667,39.9674170816667,42.2005425037945
"1425","Piper glabrescens_7","kelsey_cater_Aci_PuertoRico.csv","Vcmax","New",94.140708128325,394,36.9133381221551,10.8538450665779,153.050843492831,4.55382441373906,1425.67124574998,21.5246428085714,39.9020605066667,38.8661485599846
"1426","Piper glabrescens_7","kelsey_cater_Aci_PuertoRico.csv","Jmax","New",296.238596872165,35,42.6452113327356,40.9557562313886,124.973302650755,0.535447758307109,163.453734974626,21.5246428085714,39.9020605066667,44.5980217705651
"1427","Piper glabrescens_8","kelsey_cater_Aci_PuertoRico.csv","Vcmax","New",150.849749890049,9,39.2708068700436,22.5824065577138,314.696414734884,6.2047226292255,212.358772021574,20.2117304783333,39.9377282441667,41.2236173078731
"1428","Piper glabrescens_8","kelsey_cater_Aci_PuertoRico.csv","Jmax","New",156.352737003905,9,39.4499582789068,63.2431036710462,111.189240630126,2.06891723898202,76.6589227652063,20.2117304783333,39.9377282441667,41.4027687167363
"1429","Poa pratensis_r1_15","nick_smith.csv","Vcmax","New",98.2279758827058,33,42.7592492986909,12.0613774370752,100.918427026837,0.789227246385581,250.688223790276,14,50,43.8004519525506
"1430","Poa pratensis_r1_15","nick_smith.csv","Jmax","New",550.885552611267,19,53.1046654036421,39.6123696809524,44.2093228241476,0.477573800571864,152.172923982918,14,50,54.1458680575018
"1431","Poa pratensis_r1_20","nick_smith.csv","Vcmax","New",320.332573698594,103,49.8516614226941,13.7282206991841,9.36120618308111,0.0013797434308776,0.0479082012879974,14,50,50.8928640765538
"1432","Poa pratensis_r1_20","nick_smith.csv","Jmax","New",NA,NA,NA,NA,NA,NA,NA,14,50,NA
"1433","Poa pratensis_r1_25","nick_smith.csv","Vcmax","New",46.8816783089156,53,33.4275200557108,13.1473110399955,17.5044431153132,0.671461504863214,215.383082074993,14,50,35.3803304935402
"1434","Poa pratensis_r1_25","nick_smith.csv","Jmax","New",172.073131159197,24,39.9289831700851,26.7811924815431,0,0.634764472913402,202.93489217622,14,50,41.8817936079146
"1435","Poa pratensis_r1_30","nick_smith.csv","Vcmax","New",117.268726914539,11,38.0117258940172,15.4111771868733,0,0.14182350010347,6.8800105538516,23,50,39.9645363318467
"1436","Poa pratensis_r1_30","nick_smith.csv","Jmax","New",203.442517310931,47,40.7663028058661,32.6734335763275,0,0.566629037244067,179.621046920817,23,50,42.7191132436956
"1437","Poa pratensis_r1_35","nick_smith.csv","Vcmax","New",230.126110637585,45,47.8672677238943,13.3626665460849,43.3267941752569,0.321293283929428,101.038444038779,14,50,48.908470377754
"1438","Poa pratensis_r1_35","nick_smith.csv","Jmax","New",73.9758112820004,41,41.0579319204369,30.7749242361393,0,0.236265628762211,78.0031607285385,14,50,42.0991345742966
"1439","Poa pratensis_r2_15","nick_smith.csv","Vcmax","New",621.574851960722,2,53.8290409769463,14.7257356969285,36.7931130855922,0.72598651866794,239.21420481769,14,50,54.8702436308061
"1440","Poa pratensis_r2_15","nick_smith.csv","Jmax","New",370.960994151696,10,50.7320844493644,28.119467561179,10.0640591945744,0,0.181390005712975,14,50,51.7732871032241
"1441","Poa pratensis_r2_20","nick_smith.csv","Vcmax","New",281.406098557279,2,42.3883794152775,9.30598497683892,14.7205789871819,0.726620521431518,236.519919522625,14,50,44.341189853107
"1442","Poa pratensis_r2_20","nick_smith.csv","Jmax","New",16.8210766607529,31,28.3025486482593,18.5838819381158,0,0.388224369680496,124.386190292954,14,50,30.2553590860888
"1443","Poa pratensis_r2_30","nick_smith.csv","Vcmax","New",82.0198931509619,17,41.6772738326905,6.95924058536678,0.28673215421707,0.188970102056729,2.59345206926084,14,50,42.7184764865502
"1444","Poa pratensis_r2_30","nick_smith.csv","Jmax","New",57.9912315442678,5,39.5972538423057,15.0884535053379,0,1.40009399541251,446.57731268398,14,50,40.6384564961655
"1445","Poa pratensis_r3_25","nick_smith.csv","Vcmax","New",0.446285937632634,11,10.155408248943,6.29924200960338,30.1981402642511,0.537639314939883,173.074148484924,14,50,12.1082186867725
"1446","Poa pratensis_r3_25","nick_smith.csv","Jmax","New",8.69809313820031,117,25.0049044426467,14.7310909510375,0,0.36311889593649,116.884606669991,14,50,26.9577148804762
"1447","Poa pratensis_r3_30","nick_smith.csv","Vcmax","New",8.29789636462758,9,24.7693954952157,6.35965946910587,17.8563227256529,4.67438793754521,9.8335059488096,14,50,26.7222059330452
"1448","Poa pratensis_r3_30","nick_smith.csv","Jmax","New",NA,NA,NA,NA,NA,NA,NA,14,50,NA
"1449","Poa pratensis_r4_15","nick_smith.csv","Vcmax","New",4.90020326642886,9,22.135768768051,26.6394406974717,67.9778277728717,0.641547961753286,203.708430515717,14,50,24.0885792058805
"1450","Poa pratensis_r4_15","nick_smith.csv","Jmax","New",175.757620571715,42,40.0349147822717,43.40101729107,31.1688540535276,0.403688915070658,129.283690176106,14,50,41.9877252201012
"1451","Poa pratensis_r4_20","nick_smith.csv","Vcmax","New",75.454576901769,43,35.8070395558598,9.67555875366248,1.55631167771656,0.000146137803017103,0.17747157211856,14,50,37.7598499936893
"1452","Poa pratensis_r4_20","nick_smith.csv","Jmax","New",0.0184336163163802,26,-5.77851120564044,27.2123840903548,0,0.337114929079873,107.73613116324,14,50,-3.82570076781094
"1453","Populus deltoides_205","dillaway_etal.csv","Vcmax","New",119.898041080841,157,43.9553532729804,161.985310538208,68.5222728030176,0.423881175407311,131.201824807845,21.4071428571429,33.7014285714286,44.9965559268401
"1454","Populus deltoides_205","dillaway_etal.csv","Jmax","New",3980.94581395286,22,64.9711511996852,269.462667167714,117.494092421408,0.345196644115617,100.310794615228,21.4071428571429,33.7014285714286,66.0123538535449
"1455","Prestoea montana_17","kelsey_cater_Aci_PuertoRico.csv","Vcmax","New",1326.74843088562,398,58.3784215634204,9.49709894032341,207.087245021301,0.969983671274271,298.926296550013,23.1004390708333,40.8985989908333,59.4196242172801
"1456","Prestoea montana_17","kelsey_cater_Aci_PuertoRico.csv","Jmax","New",1065.52044316326,399,57.0628147560601,24.2359203637662,107.378549198108,3.22414312770016,1008.44591610479,23.1004390708333,40.8985989908333,58.1040174099198
"1457","Prestoea montana_22","kelsey_cater_Aci_PuertoRico.csv","Vcmax","New",940.038300030997,397,48.4189884277859,20.3209824080571,68.2854772967267,1.68907214066693,524.666570551104,22.04306507,39.8462686533333,50.3717988656154
"1458","Prestoea montana_22","kelsey_cater_Aci_PuertoRico.csv","Jmax","New",1227.21622865337,26,49.7519036053287,31.9891220383458,10.8027239300174,0.45226040874097,0.82825743498476,22.04306507,39.8462686533333,51.7047140431582
