,Ea_o,Hd_o,dS_o,k25_o,residual_o,BIC_o,Parameter,MA,ID,Ea,Hd,dS,k25,residual,BIC,Parameter,MA,ID
1353,80.87489921,200,0.641780598,69.86736181,37.37134712,30.68446887,Vcmax,Old,52,78.4023084,200,0.641799327,69.86555051,37.33409587,30.67948246,Vcmax,New,52
2063,70.76226089,198.2933208,0.634566888,64.48274896,7.167467346,24.03714715,Vcmax,Old,53,68.30894108,198.204948,0.634311847,64.48078411,7.182587133,24.04768355,Vcmax,New,53
1354,70.43869203,200,0.639901051,64.46157625,7.176219456,22.43381095,Vcmax,Old,53,67.96744953,200,0.639921941,64.45841507,7.192329447,22.44502294,Vcmax,New,53
1355,63.02374786,200,0.632862731,82.7130779,34.72525488,30.31728356,Vcmax,Old,54,60.53632851,200,0.632887868,82.70911594,34.58117954,30.29649537,Vcmax,New,54
4011,40,40,0.65,35.28710658,2.02E-28,-60.93166355,Vcmax,Old,55,40,42,0.65,35.28710658,0.010247247,-1.742869156,Vcmax,New,55
1356,40,200,0.65,35.28710658,38.8626709,6.497911239,Vcmax,Old,55,40,200,0.65,35.28710658,44.58336245,6.635237817,Vcmax,New,55
1887,58.9641938,465.0503969,1.471117452,71.54138942,4.017413973,21.14257736,Vcmax,Old,56,56.47968447,459.7791854,1.454332712,71.53634806,3.990688419,21.10920409,Vcmax,New,56
1357,62.77960911,200,0.628093628,71.74193991,8.585397752,23.33026154,Vcmax,Old,56,60.29047916,200,0.628130133,71.73763398,8.516905951,23.29021304,Vcmax,New,56
2182,161.4917738,158.9230466,0.535976966,74.67921234,51.57689487,33.90475432,Vcmax,Old,57,158.946615,158.9741381,0.536125177,74.67910318,51.53115669,33.90031838,Vcmax,New,57
1358,57.83600789,200,0.635600197,69.86214575,227.0207112,39.70515368,Vcmax,Old,57,55.36480921,200,0.635627282,69.85634506,227.2649415,39.71052982,Vcmax,New,57
23,40,23,0.65,122.8761478,2136.75539,33.71198713,Vcmax,Old,58,40,26,0.65,122.8761478,2134.93088,33.70942443,Vcmax,New,58
1359,64.29178902,200,0.631179852,78.60241693,2.11E-23,-147.0214775,Vcmax,Old,58,61.80671016,200,0.631220497,78.60364988,3.28E-23,-145.7017063,Vcmax,New,58
2057,56.31490651,210.7528807,0.665549062,68.43803055,6.891636985,23.84092856,Vcmax,Old,59,53.85356142,210.3041433,0.664161373,68.43518915,6.874455274,23.82844737,Vcmax,New,59
1360,56.98307254,200,0.631645448,68.48468872,6.9575666,22.27909635,Vcmax,Old,59,54.49796662,200,0.631674164,68.48022097,6.935563633,22.26325904,Vcmax,New,59
1361,61.73591071,200,0.636394949,89.84238051,17.99920652,40.56771979,Vcmax,Old,60,59.28305421,200,0.636437235,89.83620033,18.09692461,40.61644883,Vcmax,New,60
1362,46.88681323,200,0.514318979,76.5906678,144.6274673,54.17854033,Vcmax,Old,61,44.4944678,200,0.516681829,76.62424614,144.5468843,54.17408168,Vcmax,New,61
1923,62.70086003,607.1713812,2.08084104,0.37272352,42.18199913,46.40064046,Vcmax,Old,62,60.24196658,633.0996189,2.170384834,0.273178809,42.0061706,46.36722412,Vcmax,New,62
1363,64.93971964,200,0.675821088,29.78570999,45.96682445,45.00860979,Vcmax,Old,62,62.59876628,200,0.675845277,29.77841375,45.9621219,45.00779133,Vcmax,New,62
1364,45.41004553,200,0.527991566,52.7075857,120.1610908,84.61210277,Vcmax,Old,63,43.02957789,200,0.521612637,52.74349111,120.1097916,84.6056976,Vcmax,New,63
1924,56.91990709,11877.42355,39.83163135,59.53485983,339.4958122,128.3707895,Vcmax,Old,64,54.50945027,11718.46163,39.29846647,59.55962997,339.1754191,128.3519059,Vcmax,New,64
1365,59.20449211,200,0.6592361,77.22308348,830.6640264,143.2703332,Vcmax,Old,64,56.82769443,200,0.659271287,77.22204009,830.5411311,143.267374,Vcmax,New,64
1367,60.98035302,200,0.639121335,62.667885,404.9501425,62.415362,Vcmax,Old,66,58.52624743,200,0.639154101,62.66394959,405.0128615,62.41660095,Vcmax,New,66
1368,48.60397802,200,0.640847722,43.74684782,160.5696049,43.91610861,Vcmax,Old,67,46.15454621,200,0.640885085,43.7461294,160.5710795,43.9161637,Vcmax,New,67
22,40,22,0.65,119.8529533,3481.194736,35.17624826,Vcmax,Old,68,40,24,0.65,119.8529533,3479.67588,35.17493907,Vcmax,New,68
1369,98.03756948,200,0.642842107,62.00475692,3.44E-25,-159.3794636,Vcmax,Old,68,95.561647,200,0.642858763,62.00480714,1.16E-24,-155.7316497,Vcmax,New,68
1370,50.40201007,200,0.633354422,108.0903468,6251.145818,101.9684607,Vcmax,Old,69,47.94219571,200,0.633400046,108.0841338,6251.503124,101.9690322,Vcmax,New,69
1371,43.71859151,200,0.640729386,78.91449951,5342.303794,108.8489157,Vcmax,Old,70,41.23658793,200,0.640744786,78.91213292,5342.05989,108.8484135,Vcmax,New,70
2103,82.84040806,59.12572096,0.200324553,17.34829497,423.1924161,83.35537265,Vcmax,Old,71,80.44707077,59.36543523,0.201099693,17.34881465,423.1842983,83.35516165,Vcmax,New,71
1372,45.81071687,200,0.609119487,16.707695,430.2682621,81.13987849,Vcmax,Old,71,43.38133437,200,0.609709251,16.70600977,430.3674213,81.14241325,Vcmax,New,71
2074,53.56318805,615.9125999,1.996988307,63.55957987,339.8230614,92.14233297,Vcmax,Old,72,51.10372268,615.0709737,1.994266282,63.55332043,339.6678686,92.13639468,Vcmax,New,72
1373,57.45109003,200,0.641780869,64.39085888,377.7885999,90.95420978,Vcmax,Old,72,55.01023813,200,0.641815801,64.38843395,377.6534761,90.94955923,Vcmax,New,72
1863,184.0633613,183.8351302,0.631917883,69.67293809,126.2840365,44.2667047,Vcmax,Old,73,181.6491344,183.9246155,0.632216138,69.67238502,126.2587855,44.26550485,Vcmax,New,73
1374,89.58972998,200,0.66195544,71.13788891,177.5377095,44.51884167,Vcmax,Old,73,87.2080068,200,0.661978464,71.14024195,177.5495643,44.51924229,Vcmax,New,73
1936,72.81111357,188.0278696,0.620153392,92.43536054,347.9685662,56.93810421,Vcmax,Old,74,70.43851576,187.9971047,0.62008019,92.4377617,347.959415,56.93792011,Vcmax,New,74
1375,71.24727866,200,0.658776034,92.67763676,348.5967721,55.00482013,Vcmax,Old,74,68.86572532,200,0.658800691,92.68171176,348.5940216,55.0047649,Vcmax,New,74
1376,55.6400732,200,0.627559055,25.18194051,13.50683946,25.59592834,Vcmax,Old,75,53.20187716,200,0.627682654,25.17944382,13.48485199,25.58778232,Vcmax,New,75
1377,100.6197916,200,0.634660873,17.75898887,32.19947714,29.93969849,Vcmax,Old,76,98.120866,200,0.634679516,17.75959915,32.1789324,29.93650724,Vcmax,New,76
2006,540.6702967,468.9229807,1.581083126,20.40795994,126.1125458,38.37525898,Vcmax,Old,77,538.0254787,468.8543038,1.580830661,20.40775041,126.0530124,38.37289809,Vcmax,New,77
1378,98.94432089,200,0.626552738,20.36631915,178.6323615,38.50659666,Vcmax,Old,77,96.44580292,200,0.626588052,20.36579195,178.6642143,38.50748815,Vcmax,New,77
