,DOY,Location,plant_C_ medlyn_W1_fix,photo_medlyn_W1_fix,AR_medlyn_W1_fix,plant_C_new_W1_fix,photo_new_W1_fix,AR_new_W1_fix,plant_C_medlyn_W12_fix,photo_medlyn_W12_fix,AR_medlyn_W12_fix,plant_C_new_W12_fix,photo_new_W12_fix,AR_new_W12_fix,plant_C_ medlyn_W1_var,photo_medlyn_W1_var,AR_medlyn_W1_var,plant_C_ new_W1_var,photo_new_W1_var,AR_new_W1_var,plant_C_ medlyn_W12_var,photo_medlyn_W12_var,AR_medlyn_W12_var,plant_C_ new_W12_var,photo_new_W12_var,AR_new_W12_var
226,May_18,London,0.03848139,0.056314666,3.157841975,0.038528045,0.05636132,3.16045811,0.041510437,0.095671222,1.766429762,0.041589697,0.095750482,1.767893172,0.076193007,0.094026282,5.272518898,0.076221018,0.094054294,5.274089659,0.105577521,0.159738306,2.949335139,0.10562511,0.159785895,2.95021379
227,May_19,Albuquerque,0.02664255,0.049995139,2.140882087,0.026674473,0.050027062,2.142249063,0.014937924,0.084935177,1.213407287,0.014992156,0.084989409,1.21418206,0.093684459,0.117037048,5.011737604,0.093700062,0.117052651,5.012405746,0.128833323,0.198830576,2.84054828,0.12885983,0.198857083,2.840926969
228,May_19,London,0.051419684,0.07866146,2.88753059,0.051428104,0.07866988,2.88783967,0.050415622,0.133635491,1.605812323,0.050429926,0.133649795,1.605984208,0.125263403,0.152505178,5.598209956,0.125264786,0.152506562,5.598260746,0.175866403,0.259086271,3.113274215,0.175868753,0.259088622,3.113302461
229,Oct_17,Albuquerque,0.026452322,0.060132964,1.785386493,0.026451393,0.060132035,1.78535891,0.001441984,0.102158009,1.014317327,0.001440406,0.102156431,1.014301657,0.100634198,0.134314841,3.987894268,0.100647558,0.1343282,3.988290934,0.127467252,0.228183277,2.265610427,0.127489948,0.228205973,2.265835782
230,Oct_17,London,0.013603931,0.02648827,2.055850197,0.013668626,0.026552964,2.060871387,0.006942006,0.045000092,1.182405532,0.007051913,0.04511,1.185293429,-0.006772937,0.006111402,0.474327941,-0.006752052,0.006132287,0.475948908,-0.027675617,0.010382469,0.27280586,-0.027640136,0.01041795,0.273738146
231,Oct_18,Albuquerque,0.028913355,0.056787345,2.037288024,0.028919056,0.056793046,2.037492555,0.013419068,0.096474241,1.161568116,0.013428753,0.096483927,1.16168473,0.121220015,0.149094004,5.348857767,0.121218931,0.149092921,5.348818902,0.170235961,0.253291135,3.049673175,0.170234121,0.253289294,3.049651016
232,Oct_18,London,0.018188707,0.031181229,2.399936519,0.018249469,0.031241991,2.404613221,0.014313215,0.052972814,1.37023703,0.014416442,0.053076041,1.372907181,0.001036247,0.01402877,1.079757199,0.00106698,0.014059502,1.082122618,-0.014826561,0.023833037,0.616484347,-0.01477435,0.023885248,0.617834876
233,Oct_19,Albuquerque,0.028564954,0.052285623,2.204222102,0.02858225,0.052302919,2.204951256,0.017987902,0.088826408,1.253928306,0.018017285,0.088855791,1.254343104,0.117517533,0.141238202,5.954225065,0.117528293,0.141248963,5.954678693,0.169106653,0.239945159,3.38721372,0.169124933,0.239963439,3.387471778
234,Oct_19,London,0.022660622,0.035950961,2.705044731,0.022709676,0.036000014,2.708735655,0.021253749,0.061075961,1.533715937,0.021337085,0.061159297,1.53580863,0.021521137,0.034811475,2.619306866,0.021556886,0.034847225,2.621996764,0.019317913,0.059140125,1.485103975,0.019378647,0.059200859,1.486629104
235,Aug_17,Albuquerque,0.010610602,0.082615258,1.147359944,0.01060636,0.082611015,1.147301024,-0.076134697,0.140352474,0.648317745,-0.076141904,0.140345267,0.648284452,0.04987957,0.121884225,1.692727006,0.049881603,0.121886259,1.692755248,-0.009421877,0.207065294,0.956478357,-0.009418423,0.207068748,0.956494316
236,Aug_17,London,0.095887061,0.133085905,3.5776893,0.095890051,0.133088895,3.577769665,0.113966918,0.226095477,2.0163951,0.113971997,0.226100556,2.016440394,0.11074471,0.147943554,3.977100876,0.110742582,0.147941425,3.977043652,0.139208112,0.251336671,2.241504515,0.139204496,0.251333055,2.241472263
237,Aug_18,Albuquerque,-0.003273605,0.06692517,0.953366636,-0.003274133,0.066924641,0.95335911,-0.098102441,0.113697075,0.536814611,-0.098103339,0.113696177,0.536810374,0.04454794,0.114746715,1.634597117,0.044551779,0.114750554,1.634651806,-0.016859916,0.1949396,0.920396816,-0.016853394,0.194946122,0.92042761
